name,gender,date_birth,country,occupation
Stephanie Andrews,female,1974-05-02,United States,visual effects artist
John Martinez,male,1975-09-04,United States,screenwriter
Holly James,female,1989-08-15,United States,screenwriter
Dale Cain,male,1975-08-10,United States,production designer
Phyllis Rodgers,female,1983-12-03,United States,sound engineer
Nicholas Carr,male,1968-05-26,United States,actor
Mary Fry,female,1960-05-16,United States,visual effects artist
Lonnie Davis,male,1969-09-20,United States,director
Kelsey Medina,female,1976-09-13,United States,actor
Samuel Oliver,male,1992-03-30,United States,costume designer
Jenna Lloyd,female,1987-03-14,United States,sound engineer
Jeremiah Davis,male,1978-02-17,United States,make-up effects artist
Kristie Parsons,female,1959-12-21,United States,visual effects artist
Lawrence Lopez,male,1988-10-27,United States,actor
Natalie Page,female,1987-03-07,United States,filmmaker
Christopher Black,male,1985-12-07,United States,make-up effects artist
Kimberly Nichols,female,1963-03-07,United States,production designer
Peter Hunter,male,1992-05-16,United States,make-up effects artist
Deborah Rios,female,1956-07-31,United States,production designer
David Underwood,male,1976-05-22,United States,screenwriter
Stephanie Wilson,female,1957-06-03,United States,sound engineer
Charles Bryant PhD,male,1972-02-22,United States,visual effects artist
Kaitlyn Buck,female,1983-12-12,United States,sound engineer
Marcus Mclaughlin,male,1961-03-08,United States,actor
Victoria Davis,female,1991-04-30,United States,actor
Levi Yu,male,1989-03-12,United States,filmmaker
Summer Chavez,female,1977-10-23,United States,sound engineer
Nicholas Lawson,male,1994-10-03,United States,production designer
Jessica Lara,female,1966-12-10,United States,sound engineer
Michael Brown,male,1991-11-17,United States,screenwriter
Nicole Patterson,female,1956-06-02,United States,actor
Larry Kirk,male,1963-06-05,United States,screenwriter
Elaine Reed,female,1989-02-05,United States,visual effects artist
Eric Burns,male,1980-11-05,United States,visual effects artist
Elizabeth Simpson,female,1964-06-13,United States,director
Warren Nguyen,male,1959-02-04,United States,director
Joanna Walker,female,1985-12-21,United States,sound engineer
David Smith,male,1993-04-27,United States,sound engineer
Tiffany Brewer,female,1988-01-30,United States,make-up effects artist
Ricardo Frye,male,1961-01-25,United States,sound engineer
Dr. Stacy Riggs,female,1959-09-28,United States,filmmaker
Juan Hansen,male,1968-10-16,United States,costume designer
Rachel Edwards,female,1960-01-01,United States,screenwriter
Ricky Thomas,male,1980-05-23,United States,sound engineer
Paige White,female,1961-01-24,United States,make-up effects artist
Jordan Hall,male,1957-04-08,United States,costume designer
Stephanie Boyd,female,1987-05-05,United States,actor
Daniel Baker,male,1974-02-03,United States,visual effects artist
Jennifer Howe MD,female,1987-11-03,United States,costume designer
James Simon,male,1962-03-09,United States,visual effects artist
Gwendolyn Foster,female,1994-05-26,United States,filmmaker
Corey James,male,1973-05-07,United States,filmmaker
Samantha Patrick,female,1957-04-03,United States,sound engineer
Joe Orozco,male,1968-09-27,United States,actor
Barbara Chambers,female,1980-08-26,United States,filmmaker
Patrick Brown,male,1983-11-05,United States,costume designer
Melissa Bush,female,1965-06-08,United States,costume designer
Edward Owen,male,1963-12-23,United States,filmmaker
Leslie Miller,female,1978-12-22,United States,screenwriter
Christopher Watkins,male,1973-05-15,United States,costume designer
Amanda Liu,female,1988-04-28,United States,director
Donald Pearson,male,1975-05-29,United States,visual effects artist
Stephanie Rojas,female,1989-10-12,United States,make-up effects artist
Chase Smith,male,1983-05-31,United States,screenwriter
Abigail Lawson,female,1959-05-26,United States,actor
Clarence Davis,male,1979-10-20,United States,actor
Donna Morris,female,1987-04-07,United States,screenwriter
Mark Williams,male,1961-12-30,United States,actor
Christine Dorsey,female,1966-09-22,United States,director
Glenn Cook,male,1984-10-26,United States,screenwriter
Victoria King,female,1960-12-22,United States,filmmaker
George Myers,male,1965-01-31,United States,production designer
Shannon Thomas,female,1959-11-26,United States,actor
Brandon Frank,male,1958-09-03,United States,visual effects artist
Brittany Moore,female,1972-07-29,United States,screenwriter
James Davidson DDS,male,1964-06-23,United States,director
Courtney Huber,female,1957-04-14,United States,production designer
Benjamin Reynolds,male,1964-03-09,United States,screenwriter
Michelle Wilcox,female,1959-12-09,United States,sound engineer
Michael Allen,male,1977-07-13,United States,actor
Amber Hernandez,female,1964-10-28,United States,filmmaker
Jonathan Garcia,male,1969-11-23,United States,visual effects artist
Dr. Mary Webb DDS,female,1970-10-10,United States,sound engineer
Oscar Gross,male,1970-10-24,United States,make-up effects artist
Cindy Davis,female,1971-11-11,United States,screenwriter
Casey White,male,1966-03-03,United States,filmmaker
Carol Wilson,female,1959-08-25,United States,make-up effects artist
Cameron Duncan,male,1978-06-06,United States,director
Stephanie Rocha,female,1970-01-17,United States,visual effects artist
Mr. David Williams,male,1971-11-26,United States,screenwriter
Deanna Dennis,female,1977-09-29,United States,screenwriter
Pedro Stephens,male,1968-12-19,United States,sound engineer
Becky Sheppard,female,1967-01-21,United States,make-up effects artist
Samuel Johnston,male,1962-08-03,United States,make-up effects artist
Jennifer Perry,female,1967-05-23,United States,production designer
Nicholas Johnson,male,1994-01-09,United States,director
Amanda Hall,female,1966-06-12,United States,screenwriter
Michael Reed,male,1957-09-08,United States,actor
Jennifer Green,female,1995-10-30,United States,production designer
Kevin Callahan,male,1973-10-14,United States,visual effects artist
Carrie Ford,female,1988-08-11,United States,sound engineer
Kyle Schneider,male,1958-09-09,United States,costume designer
Sherry Alexander,female,1974-03-02,United States,sound engineer
Edward Taylor,male,1994-07-27,United States,sound engineer
Emily Serrano,female,1956-07-22,United States,production designer
Joshua Cruz,male,1968-03-01,United States,director
Nicole Bernard,female,1965-11-15,United States,production designer
David Owens,male,1977-11-03,United States,visual effects artist
Angel Gaines,female,1964-04-14,United States,screenwriter
Benjamin Dickson,male,1993-03-11,United States,sound engineer
Annette Decker,female,1984-10-20,United States,costume designer
Brandon Valdez,male,1958-10-23,United States,sound engineer
Jessica Carpenter,female,1973-07-24,United States,sound engineer
Andrew Williams,male,1987-04-23,United States,sound engineer
Linda Douglas,female,1995-05-03,United States,make-up effects artist
Matthew Weaver,male,1966-01-23,United States,visual effects artist
Kelly Gray,female,1979-09-30,United States,costume designer
Jeremiah Summers,male,1985-02-27,United States,costume designer
Tammy Zamora,female,1964-11-21,United States,visual effects artist
Gregory Johnson,male,1989-12-02,United States,screenwriter
Patricia Best,female,1992-11-29,United States,screenwriter
Kevin Lara,male,1968-06-16,United States,visual effects artist
Mary Campbell,female,1976-07-04,United States,production designer
Samuel Meyer DDS,male,1990-06-17,United States,make-up effects artist
Andrea Hampton,female,1961-10-14,United States,make-up effects artist
Mr. Cory Austin,male,1956-05-02,United States,director
Annette Johnston,female,1984-05-25,United States,actor
Jason Holland,male,1971-01-26,United States,visual effects artist
Lauren Hughes,female,1977-10-14,United States,screenwriter
David Miles,male,1971-06-04,United States,screenwriter
Deanna Cardenas,female,1979-03-12,United States,visual effects artist
Ricky Meyer,male,1993-04-01,United States,visual effects artist
Kathryn Harris,female,1978-10-27,United States,actor
Jerome Griffith,male,1965-08-29,United States,filmmaker
Lindsay Brady,female,1983-10-06,United States,make-up effects artist
Ryan Brown,male,1984-03-12,United States,sound engineer
Hannah Gomez,female,1978-03-09,United States,director
Donald Gonzalez,male,1984-08-13,United States,director
Stephanie Taylor,female,1984-02-20,United States,costume designer
Jacob Smith,male,1994-01-27,United States,director
Traci Miller,female,1968-02-14,United States,screenwriter
Matthew Miller,male,1985-03-19,United States,make-up effects artist
Leslie Boyer,female,1980-01-05,United States,costume designer
Paul Williams,male,1973-02-13,United States,visual effects artist
Olivia Hamilton,female,1980-08-22,United States,screenwriter
Michael Church,male,1988-07-26,United States,sound engineer
Maria Lopez,female,1973-05-22,United States,screenwriter
Grant Davenport,male,1961-05-09,United States,visual effects artist
Amanda Goodwin,female,1987-12-26,United States,costume designer
Robert Spears,male,1962-05-06,United States,filmmaker
Dana Lee,female,1959-09-06,United States,director
Elijah Gonzalez,male,1985-06-28,United States,screenwriter
Nicole Krause,female,1965-02-12,United States,production designer
Anthony Beasley,male,1983-05-02,United States,costume designer
Danielle Hogan,female,1968-02-22,United States,filmmaker
Jacob Lewis,male,1956-06-05,United States,filmmaker
Sylvia Barry,female,1984-02-12,United States,actor
Michael Brown,male,1992-04-23,United States,filmmaker
Susan Velasquez,female,1984-07-22,United States,costume designer
Ryan Nichols,male,1961-12-05,United States,actor
Valerie Pacheco,female,1970-12-24,United States,filmmaker
David Johnson,male,1976-10-22,United States,production designer
Cynthia Chambers,female,1969-06-12,United States,screenwriter
Joseph Martin,male,1976-12-05,United States,costume designer
Laurie Schmidt,female,1957-02-18,United States,actor
Dustin Avila,male,1967-04-07,United States,make-up effects artist
Chelsey Guerrero,female,1973-04-30,United States,screenwriter
James Chambers,male,1962-03-09,United States,director
Anna Warren,female,1970-06-22,United States,filmmaker
Martin Hayes,male,1972-10-17,United States,filmmaker
Susan Arnold,female,1982-07-07,United States,make-up effects artist
John Johnston,male,1989-01-03,United States,make-up effects artist
Lauren Webster,female,1976-11-28,United States,costume designer
Joshua Roman,male,1978-09-25,United States,director
Michele King,female,1977-04-22,United States,actor
Brandon Rocha,male,1978-09-28,United States,visual effects artist
Kelly Jones,female,1984-05-30,United States,sound engineer
Charles Fuller,male,1995-11-11,United States,actor
Michelle Bradley,female,1991-08-28,United States,make-up effects artist
Michael Keller,male,1989-03-18,United States,visual effects artist
Sandra Miller,female,1962-12-29,United States,filmmaker
Ethan King,male,1994-06-01,United States,sound engineer
Stephanie Scott,female,1978-10-09,United States,filmmaker
Tyler James,male,1983-07-02,United States,visual effects artist
Cassandra Gibson,female,1970-05-08,United States,costume designer
David Reed,male,1974-11-08,United States,actor
Jennifer Roberts,female,1973-04-02,United States,visual effects artist
Lee Cruz,male,1963-01-18,United States,sound engineer
Elizabeth Clark,female,1959-09-10,United States,actor
Bradley Holland,male,1967-10-21,United States,production designer
Kayla Massey,female,1989-02-23,United States,screenwriter
Jeff Robinson,male,1980-01-23,United States,production designer
Maria Stewart,female,1958-03-20,United States,filmmaker
Christopher Jenkins,male,1966-10-29,United States,production designer
Laurie Jones,female,1963-09-22,United States,costume designer
John Gay,male,1979-10-22,United States,filmmaker
Jasmine Gordon,female,1993-07-09,United States,sound engineer
Harold Acosta,male,1961-10-14,United States,director
Misty Clay,female,1962-10-23,United States,costume designer
Samuel Daniel,male,1959-09-19,United States,make-up effects artist
Veronica Vega,female,1985-07-21,United States,production designer
David Simpson,male,1963-05-04,United States,visual effects artist
Kelly Hogan,female,1971-06-25,United States,visual effects artist
David Anderson,male,1965-03-27,United States,costume designer
Jacqueline Woods,female,1966-06-19,United States,production designer
John Avila,male,1978-01-05,United States,screenwriter
Melissa Gay,female,1985-06-19,United States,sound engineer
Steve Soto,male,1975-11-06,United States,visual effects artist
Sabrina Reynolds,female,1970-08-28,United States,make-up effects artist
Clifford Dean,male,1974-10-02,United States,screenwriter
Erin Lewis,female,1993-06-03,United States,make-up effects artist
Grant Ramos,male,1972-12-23,United States,visual effects artist
Mrs. Norma Garcia,female,1972-05-31,United States,visual effects artist
Gerald Carlson,male,1961-11-01,United States,make-up effects artist
Mikayla Mcpherson,female,1973-02-13,United States,costume designer
Stephen Ford,male,1982-08-03,United States,visual effects artist
Karen Alexander,female,1964-11-09,United States,sound engineer
Daryl Madden,male,1982-11-28,United States,filmmaker
Sydney Walker,female,1962-02-25,United States,production designer
Ethan Burnett,male,1958-02-19,United States,production designer
Sonya Foster,female,1969-10-19,United States,costume designer
Ricardo Ali,male,1981-12-05,United States,sound engineer
Paula Smith,female,1977-05-06,United States,visual effects artist
Thomas Norris,male,1977-09-02,United States,costume designer
Amber Escobar,female,1963-01-28,United States,production designer
Gregory White,male,1981-08-09,United States,costume designer
Kelly Bailey,female,1970-07-19,United States,make-up effects artist
Jonathan Dudley,male,1984-08-10,United States,costume designer
Patricia Evans,female,1972-03-05,United States,actor
Brian Edwards,male,1974-03-17,United States,production designer
Laura Mckinney,female,1985-03-01,United States,director
Charles Green,male,1966-10-04,United States,director
Alexandra Kim,female,1995-03-05,United States,screenwriter
Mr. Parker Walls,male,1989-10-22,United States,make-up effects artist
Katherine Taylor,female,1967-05-23,United States,director
Bryan Maldonado,male,1973-08-08,United States,production designer
Mrs. Melissa Hicks,female,1970-10-29,United States,filmmaker
Omar Jones,male,1958-07-16,United States,director
Amy Gregory,female,1961-05-20,United States,actor
William Allen,male,1959-12-21,United States,visual effects artist
Kimberly Grimes DDS,female,1967-07-20,United States,production designer
Jonathan Sanchez,male,1984-09-17,United States,sound engineer
Cynthia Wood,female,1975-02-26,United States,filmmaker
Daniel Moore,male,1995-05-08,United States,screenwriter
Michelle Schaefer,female,1995-08-13,United States,sound engineer
James West,male,1976-11-10,United States,director
Heather Blair,female,1974-08-11,United States,sound engineer
Christopher Young,male,1976-02-07,United States,production designer
Sharon Lee,female,1990-01-09,United States,filmmaker
Michael Knapp,male,1987-02-04,United States,sound engineer
Brenda Hodges,female,1981-08-03,United States,sound engineer
Michael Lawrence,male,1976-10-25,United States,visual effects artist
Katherine Schmidt,female,1971-02-04,United States,director
Scott Alvarez,male,1968-09-20,United States,make-up effects artist
Stephanie Beard,female,1972-05-03,United States,director
Thomas Miller,male,1993-08-10,United States,costume designer
Sara Houston,female,1995-09-11,United States,director
Victor Hoover,male,1983-02-05,United States,sound engineer
Natalie Smith,female,1986-12-30,United States,make-up effects artist
Gavin Sanchez,male,1991-11-14,United States,director
Angela Shaffer,female,1988-10-03,United States,director
Eric Delacruz,male,1959-08-14,United States,visual effects artist
Penny Powell,female,1976-08-18,United States,costume designer
Joshua Stewart,male,1989-05-24,United States,actor
Mary Meyer,female,1968-04-14,United States,visual effects artist
Brian Hall,male,1977-09-21,United States,make-up effects artist
Jacqueline Ward,female,1970-05-06,United States,visual effects artist
Jeffrey Riley,male,1985-12-22,United States,visual effects artist
Michele Palmer,female,1967-01-20,United States,actor
Nathan Farmer,male,1965-07-14,United States,costume designer
Emily Nguyen,female,1968-05-27,United States,sound engineer
Theodore Cooper,male,1960-02-04,United States,actor
Renee Short,female,1974-03-09,United States,make-up effects artist
Robert Quinn,male,1988-04-26,United States,costume designer
Heidi Howard,female,1985-04-02,United States,filmmaker
Charles Duncan,male,1975-10-16,United States,filmmaker
Destiny Johnson,female,1966-09-14,United States,sound engineer
Jeremy Johnson DDS,male,1970-07-09,United States,production designer
Sarah Walter,female,1979-05-03,United States,production designer
Alejandro Perkins,male,1958-05-16,United States,screenwriter
Rebecca Perez,female,1963-02-13,United States,sound engineer
Christopher Bruce,male,1957-01-02,United States,director
Kathryn Thomas DVM,female,1993-08-29,United States,production designer
Daniel King,male,1970-10-22,United States,filmmaker
Courtney Landry,female,1962-06-02,United States,sound engineer
Chad Harrison,male,1957-07-31,United States,screenwriter
Lindsey Pennington,female,1994-11-22,United States,sound engineer
Kevin Frye,male,1989-12-03,United States,production designer
Natalie Donaldson,female,1987-08-28,United States,production designer
Kenneth Reilly,male,1993-11-10,United States,make-up effects artist
Michelle Malone,female,1960-06-14,United States,sound engineer
Adam Cox,male,1982-09-28,United States,director
Shannon Wilson,female,1974-03-22,United States,make-up effects artist
Terry Jones,male,1959-02-08,United States,visual effects artist
Mrs. Amanda Schultz,female,1956-11-10,United States,actor
Mark Jackson,male,1992-05-01,United States,sound engineer
Alexis Rowe,female,1979-10-13,United States,visual effects artist
Nathan Klein,male,1965-12-03,United States,sound engineer
Whitney Mccarthy,female,1993-09-19,United States,costume designer
Jacob Hull,male,1989-04-21,United States,filmmaker
Cynthia Fox,female,1959-11-12,United States,make-up effects artist
Aaron Green,male,1961-07-19,United States,visual effects artist
Laura Dunn,female,1986-08-29,United States,director
Christian Meadows,male,1963-04-05,United States,actor
Maria Turner,female,1970-11-06,United States,actor
Christopher Thompson,male,1989-12-02,United States,actor
Elizabeth Lynch,female,1963-08-13,United States,production designer
Shane Le,male,1992-04-19,United States,screenwriter
Desiree Herrera,female,1975-05-16,United States,costume designer
Joseph Rodriguez,male,1971-11-05,United States,director
Kelly Jimenez,female,1968-06-17,United States,actor
William Reed,male,1976-06-06,United States,actor
Melissa Smith,female,1969-11-08,United States,filmmaker
Matthew Gonzales,male,1973-10-23,United States,sound engineer
Gabrielle Martin,female,1966-08-20,United States,production designer
Shane Gibson,male,1964-04-05,United States,sound engineer
Amber Johnson,female,1957-01-11,United States,production designer
Jared Davenport,male,1961-07-03,United States,actor
Jane Simpson,female,1989-08-13,United States,director
Mike Ramirez,male,1970-09-18,United States,director
Kara Walker,female,1973-10-18,United States,make-up effects artist
Timothy Harris,male,1982-02-11,United States,actor
Melissa Harris,female,1969-03-20,United States,actor
Timothy Miller,male,1983-11-29,United States,screenwriter
Rachel Humphrey,female,1966-07-27,United States,actor
Aaron Benton,male,1976-05-23,United States,costume designer
Mrs. Kelly Williamson,female,1962-06-18,United States,costume designer
Mark Hall,male,1971-11-19,United States,make-up effects artist
Terri Hubbard,female,1958-07-01,United States,screenwriter
George Byrd,male,1975-12-19,United States,production designer
Sonya Williams,female,1957-02-14,United States,production designer
Eugene Castaneda,male,1980-04-24,United States,actor
Holly Sellers,female,1970-03-21,United States,sound engineer
Richard Adams,male,1975-09-10,United States,production designer
Julie Brown,female,1989-03-24,United States,filmmaker
Nicholas Heath,male,1971-04-19,United States,costume designer
Julie Reeves,female,1984-04-16,United States,screenwriter
Justin Shea,male,1965-07-10,United States,director
Angela Williamson,female,1980-02-15,United States,costume designer
Joshua Gomez,male,1995-01-22,United States,costume designer
Debbie Nunez,female,1988-05-06,United States,actor
Michael Crawford,male,1966-09-04,United States,visual effects artist
Rebecca Adams DVM,female,1959-07-15,United States,costume designer
Christopher Alexander,male,1985-04-10,United States,screenwriter
Kristi Hernandez,female,1980-09-01,United States,sound engineer
Donald Jackson,male,1961-04-27,United States,costume designer
Elizabeth Perkins,female,1979-05-09,United States,filmmaker
Jerome Marks,male,1971-05-15,United States,filmmaker
Karen Gilbert,female,1976-05-13,United States,director
Scott Nguyen,male,1973-12-13,United States,filmmaker
Chelsea Mayer,female,1956-05-04,United States,production designer
Mr. Ryan Dean,male,1983-10-18,United States,costume designer
Jane Lewis,female,1959-01-21,United States,visual effects artist
Aaron Castillo,male,1973-10-19,United States,sound engineer
Ariana Horne,female,1964-05-03,United States,costume designer
Thomas Thomas,male,1974-09-18,United States,actor
Michele Richards,female,1989-11-21,United States,visual effects artist
Joshua Dudley,male,1982-05-30,United States,visual effects artist
Rachel Hayes,female,1977-02-10,United States,actor
John Carrillo,male,1984-03-28,United States,visual effects artist
Margaret Wolf,female,1979-08-18,United States,sound engineer
Ryan Reid,male,1990-11-03,United States,filmmaker
Sharon Mccoy,female,1965-09-24,United States,production designer
Marc Flores,male,1968-08-13,United States,actor
Cynthia Edwards,female,1981-10-05,United States,filmmaker
Joseph Griffith,male,1988-09-19,United States,visual effects artist
Diana Brown,female,1973-12-11,United States,actor
Jerome Figueroa,male,1962-10-04,United States,costume designer
Crystal White,female,1985-09-29,United States,actor
Eric Henderson,male,1983-05-24,United States,costume designer
Andrea Vazquez,female,1957-10-21,United States,production designer
Michael Perez,male,1990-06-22,United States,director
Samantha Adams,female,1994-08-06,United States,production designer
Ryan Ramirez,male,1992-01-28,United States,make-up effects artist
Michelle Warren,female,1982-11-19,United States,sound engineer
Luke Jensen,male,1980-08-18,United States,production designer
Michelle York,female,1972-11-13,United States,costume designer
Robert Watson,male,1971-12-21,United States,actor
Anita Foster,female,1994-03-19,United States,production designer
Brian Murray,male,1971-01-25,United States,actor
Beverly Bennett,female,1958-02-21,United States,director
Juan Reese,male,1982-03-13,United States,sound engineer
Lisa Lowe,female,1971-02-16,United States,make-up effects artist
Hector Johnson,male,1958-01-20,United States,filmmaker
Victoria Lopez,female,1956-08-16,United States,costume designer
Sean Morris,male,1990-01-10,United States,screenwriter
Danielle Burnett,female,1973-05-31,United States,costume designer
Carlos Jones,male,1995-04-22,United States,make-up effects artist
Kathy Wilcox,female,1962-09-07,United States,production designer
John Roth,male,1957-02-03,United States,screenwriter
Amy Smith,female,1977-02-18,United States,production designer
Mark Potter,male,1957-01-12,United States,director
Angela Rivera,female,1967-04-16,United States,actor
Ronnie Hansen,male,1990-10-28,United States,visual effects artist
Ashley Juarez,female,1976-06-09,United States,visual effects artist
Eric Barnes,male,1983-10-27,United States,director
Shannon Hodge,female,1990-02-10,United States,screenwriter
Matthew Allen,male,1994-05-30,United States,screenwriter
Nancy Little,female,1994-01-20,United States,director
Mr. David Ross,male,1979-06-11,United States,sound engineer
Sarah Mason,female,1967-07-06,United States,screenwriter
Jordan Washington,male,1986-10-26,United States,costume designer
Tanya Gibbs,female,1970-04-05,United States,costume designer
Mr. Patrick Alvarado,male,1991-09-18,United States,costume designer
Erin Johnson,female,1991-12-07,United States,costume designer
Christopher Walters,male,1967-01-17,United States,visual effects artist
Melissa Miller,female,1963-06-04,United States,make-up effects artist
Michael Hill,male,1982-05-07,United States,screenwriter
Shelley Keller,female,1965-11-26,United States,production designer
Ian Rogers,male,1977-09-17,United States,screenwriter
Monique Osborne,female,1966-12-13,United States,sound engineer
Keith Murphy,male,1989-04-12,United States,sound engineer
Lisa Gray,female,1966-06-18,United States,costume designer
Mark Gomez,male,1959-09-21,United States,visual effects artist
Molly Perez,female,1982-05-27,United States,actor
Timothy Nelson,male,1992-05-22,United States,sound engineer
Cindy Rivera,female,1974-08-29,United States,sound engineer
Nicholas Miller,male,1981-12-04,United States,sound engineer
Christina Carter,female,1964-11-10,United States,make-up effects artist
Edward Garcia,male,1972-11-05,United States,filmmaker
Stephanie Hoffman,female,1994-07-31,United States,sound engineer
Frank Sanders MD,male,1983-09-01,United States,actor
Sandra Becker,female,1976-12-06,United States,sound engineer
Jason Thomas,male,1983-05-25,United States,filmmaker
Nancy Simpson,female,1979-08-25,United States,costume designer
Brad Torres,male,1994-02-04,United States,costume designer
Madeline Robinson,female,1962-05-08,United States,filmmaker
Bryan Mclaughlin,male,1962-02-26,United States,screenwriter
Teresa Clarke,female,1981-06-18,United States,actor
Richard Baird,male,1987-10-17,United States,visual effects artist
Maria Whitehead,female,1973-11-09,United States,screenwriter
Tyler Bowers,male,1974-02-10,United States,visual effects artist
Laura Whitney,female,1982-11-24,United States,production designer
Jeff Daniel,male,1960-09-12,United States,visual effects artist
Jillian Clark,female,1992-05-14,United States,production designer
Jeremy Miller,male,1969-09-01,United States,make-up effects artist
Brianna Cobb MD,female,1989-08-11,United States,production designer
Joseph Scott,male,1983-02-19,United States,actor
Melissa Gallagher,female,1981-01-19,United States,director
Jermaine Crane,male,1962-05-08,United States,production designer
Amber Armstrong,female,1959-08-18,United States,sound engineer
Mark Haney,male,1995-05-15,United States,visual effects artist
Brittany Fritz MD,female,1971-03-20,United States,sound engineer
Adam Brooks,male,1988-07-15,United States,screenwriter
Rebecca Johnson,female,1987-08-08,United States,visual effects artist
Larry Gates,male,1988-10-07,United States,filmmaker
Amanda Kelly,female,1976-10-29,United States,make-up effects artist
Chad King,male,1965-01-10,United States,filmmaker
Jennifer Colon,female,1966-05-30,United States,costume designer
Darryl Hardy,male,1971-04-01,United States,director
Jennifer Gardner,female,1978-09-23,United States,director
Anthony Hunt,male,1988-10-31,United States,visual effects artist
Sylvia Myers,female,1970-05-19,United States,costume designer
Brian Roberts,male,1977-01-06,United States,sound engineer
Heather Williams,female,1984-06-13,United States,director
Raymond Cox,male,1991-02-07,United States,production designer
Cassandra Lawrence,female,1957-11-24,United States,sound engineer
Lance Burton,male,1993-02-19,United States,screenwriter
Rachel Lee,female,1974-10-26,United States,make-up effects artist
James Wilson,male,1961-01-27,United States,costume designer
Jessica Griffin,female,1989-05-31,United States,actor
Wesley Parker,male,1965-03-08,United States,screenwriter
Cynthia Mendoza,female,1957-05-01,United States,costume designer
Ryan Murphy,male,1984-04-12,United States,production designer
Linda Alexander,female,1984-08-04,United States,sound engineer
Jeffrey Burns,male,1969-08-30,United States,costume designer
Cheryl Lopez,female,1987-01-22,United States,filmmaker
Andrew Lewis,male,1994-10-08,United States,production designer
Cheryl Barron,female,1987-08-21,United States,costume designer
Shawn Curtis,male,1975-02-26,United States,make-up effects artist
Whitney Wilson,female,1963-09-21,United States,make-up effects artist
Michael Aguilar,male,1986-10-07,United States,visual effects artist
Chelsea Clark,female,1961-12-06,United States,actor
Jeremiah Banks,male,1970-10-29,United States,filmmaker
Rachel Scott,female,1981-12-22,United States,sound engineer
Ryan Johnson,male,1988-02-22,United States,screenwriter
Ana Peterson,female,1973-07-11,United States,production designer
Kenneth Warren,male,1984-09-10,United States,visual effects artist
Jennifer Jackson,female,1977-07-26,United States,filmmaker
Lee Lopez,male,1970-05-29,United States,sound engineer
Mrs. Julie Johnson,female,1976-01-03,United States,actor
Jason Carter,male,1993-07-21,United States,make-up effects artist
Kathleen Choi,female,1984-01-28,United States,screenwriter
Jesse Delgado,male,1965-11-18,United States,visual effects artist
Karen Strong,female,1959-02-16,United States,filmmaker
Justin Todd,male,1982-05-03,United States,visual effects artist
Dr. Amy Taylor,female,1965-10-12,United States,director
Harold Leon,male,1963-06-05,United States,make-up effects artist
Jennifer Wood,female,1964-11-29,United States,director
Chris Decker,male,1974-06-13,United States,production designer
Natalie Evans,female,1962-05-12,United States,filmmaker
Louis Mckee,male,1963-03-22,United States,make-up effects artist
Jacqueline Smith,female,1962-10-23,United States,screenwriter
Richard Meza,male,1993-01-30,United States,screenwriter
Brandi Suarez,female,1959-08-01,United States,filmmaker
Charles Johnson,male,1979-12-18,United States,production designer
Tammie Herman,female,1981-08-21,United States,screenwriter
Kenneth Jones DDS,male,1975-01-09,United States,sound engineer
Nicole Castillo,female,1962-07-04,United States,sound engineer
Joel Cox,male,1979-04-30,United States,sound engineer
Zoe Lucero,female,1957-06-17,United States,visual effects artist
Michael Franklin,male,1958-03-19,United States,screenwriter
Tracey Roberts,female,1988-03-11,United States,screenwriter
Joe Cuevas,male,1982-05-30,United States,make-up effects artist
Jennifer Williams,female,1960-08-15,United States,costume designer
Nicholas Jones,male,1978-12-26,United States,sound engineer
Amanda Shaw,female,1961-11-02,United States,actor
Jacob Wood,male,1963-07-28,United States,costume designer
Gabrielle Flores,female,1963-03-12,United States,actor
Eric Valencia,male,1969-11-23,United States,production designer
Katherine Pena,female,1959-04-25,United States,visual effects artist
David White,male,1966-06-14,United States,visual effects artist
Sarah Smith,female,1974-10-17,United States,sound engineer
Jared Bell,male,1985-12-23,United States,costume designer
Rhonda Dunn,female,1960-06-25,United States,visual effects artist
Cameron Lopez,male,1977-07-12,United States,make-up effects artist
Kristen Conrad,female,1979-05-02,United States,costume designer
Michael Graham,male,1986-07-01,United States,make-up effects artist
Krista Vazquez,female,1979-09-11,United States,actor
Timothy Harrison,male,1971-09-11,United States,production designer
Abigail Larsen,female,1956-01-29,United States,screenwriter
John Davis,male,1958-10-28,United States,director
Melanie Warner,female,1975-12-04,United States,actor
Dr. Adam West,male,1971-05-22,United States,screenwriter
Brandi Day,female,1960-08-12,United States,filmmaker
Kyle Adams,male,1977-02-15,United States,screenwriter
Melissa Ortiz,female,1981-06-25,United States,production designer
Marcus Lopez,male,1971-05-23,United States,visual effects artist
Kathryn Johnson,female,1964-08-27,United States,make-up effects artist
Bobby Hall,male,1992-12-06,United States,screenwriter
Melanie Smith,female,1959-04-28,United States,visual effects artist
James Wood,male,1989-05-10,United States,visual effects artist
Jennifer Stevens,female,1972-06-19,United States,sound engineer
Jeffrey Ali,male,1979-06-01,United States,make-up effects artist
Pam Fisher,female,1974-06-29,United States,actor
Bobby Wagner,male,1978-02-02,United States,make-up effects artist
Yvonne Olson,female,1993-12-29,United States,costume designer
Kenneth Malone,male,1986-05-27,United States,director
Alyssa Carter,female,1962-06-01,United States,actor
Timothy Mcdonald,male,1967-02-05,United States,sound engineer
Crystal Kim,female,1966-04-03,United States,filmmaker
